NTC R/T Calculation 5.0,,,,,,
Type,603, ,Ordering code,= 'B57332V5103F360',,
R/T characteristic,8509, ,B(25/100),= 3455.0 [K] ?1.0%,,
R at 25°C,= 10000.0 [Ohm], ,R nom at 25°C,= 10000 [Ohm] ?1.0%,,
 ,,,,,,
T[°C],R nom[Ohm],R min[Ohm],R max[Ohm],deltaR/R [+-%],deltaT [+-°C],alpha [%K]
-40,190030,181900,198170,4.3,0.8,5.4
-39,180000,172410,187590,4.2,0.8,5.4
-38,170550,163470,177640,4.2,0.8,5.4
-37,161650,155040,168270,4.1,0.8,5.3
-36,153260,147090,159440,4,0.8,5.3
-35,145360,139590,151130,4,0.8,5.3
-34,137900,132510,143290,3.9,0.7,5.2
-33,130870,125830,135910,3.8,0.7,5.2
-32,124230,119530,128940,3.8,0.7,5.2
-31,117970,113570,122370,3.7,0.7,5.2
-30,112060,107940,116170,3.7,0.7,5.1
-29,106470,102630,110320,3.6,0.7,5.1
-28,101200,97599,104790,3.6,0.7,5.1
-27,96211,92845,99576,3.5,0.7,5
-26,91498,88349,94646,3.4,0.7,5
-25,87041,84095,89987,3.4,0.7,5
-24,82825,80068,85583,3.3,0.7,4.9
-23,78837,76256,81418,3.3,0.7,4.9
-22,75062,72646,77478,3.2,0.7,4.9
-21,71489,69227,73750,3.2,0.7,4.9
-20,68104,65986,70222,3.1,0.6,4.8
-19,64899,62915,66882,3.1,0.6,4.8
-18,61861,60004,63719,3,0.6,4.8
-17,58983,57243,60723,3,0.6,4.8
-16,56253,54623,57883,2.9,0.6,4.7
-15,53665,52138,55192,2.8,0.6,4.7
-14,51210,49779,52640,2.8,0.6,4.7
-13,48880,47539,50221,2.7,0.6,4.6
-12,46669,45413,47925,2.7,0.6,4.6
-11,44570,43392,45747,2.6,0.6,4.6
-10,42576,41473,43679,2.6,0.6,4.6
-9,40682,39648,41716,2.5,0.6,4.5
-8,38883,37914,39852,2.5,0.6,4.5
-7,37173,36265,38081,2.4,0.5,4.5
-6,35547,34696,36398,2.4,0.5,4.5
-5,34001,33203,34799,2.3,0.5,4.4
-4,32531,31783,33278,2.3,0.5,4.4
-3,31132,30431,31832,2.3,0.5,4.4
-2,29800,29143,30457,2.2,0.5,4.4
-1,28533,27917,29148,2.2,0.5,4.3
0,27326,26749,27903,2.1,0.5,4.3
1,26177,25636,26717,2.1,0.5,4.3
2,25082,24575,25588,2,0.5,4.3
3,24038,23564,24513,2,0.5,4.2
4,23044,22600,23488,1.9,0.5,4.2
5,22096,21680,22512,1.9,0.4,4.2
6,21192,20802,21582,1.8,0.4,4.2
7,20330,19965,20695,1.8,0.4,4.1
8,19507,19166,19849,1.8,0.4,4.1
9,18722,18403,19042,1.7,0.4,4.1
10,17973,17674,18272,1.7,0.4,4.1
11,17258,16978,17537,1.6,0.4,4.1
12,16574,16313,16836,1.6,0.4,4
13,15922,15677,16166,1.5,0.4,4
14,15298,15070,15527,1.5,0.4,4
15,14703,14489,14916,1.5,0.4,4
16,14133,13934,14332,1.4,0.4,3.9
17,13589,13402,13775,1.4,0.3,3.9
18,13068,12894,13241,1.3,0.3,3.9
19,12570,12408,12732,1.3,0.3,3.9
20,12093,11942,12244,1.2,0.3,3.9
21,11637,11497,11778,1.2,0.3,3.8
22,11201,11070,11332,1.2,0.3,3.8
23,10783,10662,10905,1.1,0.3,3.8
24,10383,10270,10496,1.1,0.3,3.8
25,10000,9900,10100,1,0.3,3.7
26,9632.9,9528.1,9737.8,1.1,0.3,3.7
27,9281.2,9176.6,9385.9,1.1,0.3,3.7
28,8944.2,8839.9,9048.4,1.2,0.3,3.7
29,8621.1,8517.3,8724.8,1.2,0.3,3.7
30,8311.3,8208.1,8414.4,1.2,0.3,3.6
31,8014.2,7911.7,8116.7,1.3,0.4,3.6
32,7729.3,7627.5,7831,1.3,0.4,3.6
33,7455.9,7355,7556.7,1.4,0.4,3.6
34,7193.6,7093.6,7293.5,1.4,0.4,3.6
35,6941.8,6842.8,7040.8,1.4,0.4,3.6
36,6700.1,6602.1,6798.1,1.5,0.4,3.5
37,6468.1,6371.1,6565,1.5,0.4,3.5
38,6245.2,6149.4,6341,1.5,0.4,3.5
39,6031.2,5936.5,6125.8,1.6,0.5,3.5
40,5825.5,5732,5919,1.6,0.5,3.5
41,5627.9,5535.6,5720.2,1.6,0.5,3.4
42,5438,5346.9,5529.1,1.7,0.5,3.4
43,5255.5,5165.6,5345.3,1.7,0.5,3.4
44,5080,4991.4,5168.6,1.7,0.5,3.4
45,4911.2,4823.8,4998.5,1.8,0.5,3.4
46,4748.8,4662.8,4834.9,1.8,0.5,3.4
47,4592.7,4507.9,4677.5,1.8,0.6,3.3
48,4442.4,4358.9,4525.9,1.9,0.6,3.3
49,4297.8,4215.6,4380.1,1.9,0.6,3.3
50,4158.7,4077.7,4239.6,1.9,0.6,3.3
51,4024.7,3945,4104.3,2,0.6,3.3
52,3895.7,3817.3,3974.1,2,0.6,3.2
53,3771.4,3694.3,3848.5,2,0.6,3.2
54,3651.8,3575.9,3727.6,2.1,0.6,3.2
55,3536.5,3461.9,3611.1,2.1,0.7,3.2
56,3425.4,3352,3498.7,2.1,0.7,3.2
57,3318.3,3246.2,3390.4,2.2,0.7,3.2
58,3215.1,3144.3,3286,2.2,0.7,3.2
59,3115.7,3046,3185.3,2.2,0.7,3.1
60,3019.7,2951.3,3088.2,2.3,0.7,3.1
61,2927.2,2860,2994.5,2.3,0.7,3.1
62,2838,2771.9,2904.1,2.3,0.8,3.1
63,2752,2687,2816.9,2.4,0.8,3.1
64,2668.9,2605.1,2732.7,2.4,0.8,3.1
65,2588.8,2526.1,2651.4,2.4,0.8,3
66,2511.4,2449.9,2573,2.5,0.8,3
67,2436.8,2376.3,2497.2,2.5,0.8,3
68,2364.7,2305.3,2424,2.5,0.8,3
69,2295.1,2236.8,2353.4,2.5,0.9,3
70,2227.8,2170.6,2285.1,2.6,0.9,3
71,2162.9,2106.7,2219.1,2.6,0.9,3
72,2100.1,2044.9,2155.3,2.6,0.9,2.9
73,2039.5,1985.3,2093.7,2.7,0.9,2.9
74,1980.9,1927.7,2034.1,2.7,0.9,2.9
75,1924.3,1872.1,1976.5,2.7,0.9,2.9
76,1869.6,1818.3,1920.8,2.7,1,2.9
77,1816.6,1766.3,1867,2.8,1,2.9
78,1765.5,1716,1814.9,2.8,1,2.9
79,1716,1667.4,1764.5,2.8,1,2.8
80,1668.1,1620.5,1715.7,2.9,1,2.8
81,1621.8,1575,1668.5,2.9,1,2.8
82,1576.9,1531.1,1622.8,2.9,1,2.8
83,1533.6,1488.5,1578.6,2.9,1.1,2.8
84,1491.6,1447.4,1535.8,3,1.1,2.8
85,1451,1407.6,1494.4,3,1.1,2.8
86,1411.6,1369,1454.2,3,1.1,2.7
87,1373.5,1331.7,1415.4,3,1.1,2.7
88,1336.7,1295.6,1377.7,3.1,1.1,2.7
89,1300.9,1260.6,1341.2,3.1,1.1,2.7
90,1266.3,1226.8,1305.9,3.1,1.2,2.7
91,1232.8,1194,1271.6,3.2,1.2,2.7
92,1200.3,1162.2,1238.4,3.2,1.2,2.7
93,1168.8,1131.4,1206.3,3.2,1.2,2.7
94,1138.3,1101.6,1175.1,3.2,1.2,2.6
95,1108.8,1072.7,1144.8,3.3,1.2,2.6
96,1080.1,1044.7,1115.5,3.3,1.3,2.6
97,1052.3,1017.5,1087,3.3,1.3,2.6
98,1025.3,991.18,1059.5,3.3,1.3,2.6
99,999.17,965.66,1032.7,3.4,1.3,2.6
100,973.81,940.91,1006.7,3.4,1.3,2.6
101,949.21,916.9,981.52,3.4,1.3,2.6
102,925.34,893.61,957.06,3.4,1.3,2.5
103,902.17,871.02,933.33,3.5,1.4,2.5
104,879.69,849.1,910.28,3.5,1.4,2.5
105,857.88,827.84,887.91,3.5,1.4,2.5
106,836.7,807.2,866.19,3.5,1.4,2.5
107,816.13,787.16,845.1,3.5,1.4,2.5
108,796.17,767.72,824.62,3.6,1.4,2.5
109,776.78,748.84,804.72,3.6,1.5,2.5
110,757.95,730.5,785.39,3.6,1.5,2.4
111,739.66,712.7,766.61,3.6,1.5,2.4
112,721.89,695.41,748.36,3.7,1.5,2.4
113,704.63,678.62,730.63,3.7,1.5,2.4
114,687.85,662.3,713.4,3.7,1.5,2.4
115,671.55,646.45,696.65,3.7,1.6,2.4
116,655.71,631.05,680.36,3.8,1.6,2.4
117,640.31,616.09,664.53,3.8,1.6,2.4
118,625.34,601.54,649.13,3.8,1.6,2.4
119,610.78,587.4,634.16,3.8,1.6,2.3
120,596.63,573.66,619.6,3.9,1.6,2.3
121,582.86,560.29,605.43,3.9,1.7,2.3
122,569.48,547.3,591.65,3.9,1.7,2.3
123,556.46,534.66,578.25,3.9,1.7,2.3
124,543.79,522.37,565.21,3.9,1.7,2.3
125,531.46,510.42,552.51,4,1.7,2.3
126,519.47,498.79,540.16,4,1.7,2.3
127,507.8,487.47,528.13,4,1.8,2.3
128,496.45,476.46,516.43,4,1.8,2.3
129,485.39,465.75,505.03,4,1.8,2.2
130,474.63,455.32,493.94,4.1,1.8,2.2
131,464.15,445.17,483.14,4.1,1.8,2.2
132,453.95,435.29,472.61,4.1,1.9,2.2
133,444.02,425.68,462.37,4.1,1.9,2.2
134,434.35,416.31,452.38,4.2,1.9,2.2
135,424.93,407.19,442.66,4.2,1.9,2.2
136,415.75,398.31,433.18,4.2,1.9,2.2
137,406.81,389.66,423.95,4.2,1.9,2.2
138,398.1,381.24,414.96,4.2,2,2.2
139,389.61,373.03,406.19,4.3,2,2.2
140,381.34,365.04,397.65,4.3,2,2.1
141,373.28,357.25,389.32,4.3,2,2.1
142,365.43,349.65,381.2,4.3,2,2.1
143,357.77,342.26,373.28,4.3,2.1,2.1
144,350.3,335.04,365.56,4.4,2.1,2.1
145,343.02,328.01,358.03,4.4,2.1,2.1
146,335.93,321.16,350.69,4.4,2.1,2.1
147,329.01,314.48,343.53,4.4,2.1,2.1
148,322.26,307.97,336.55,4.4,2.1,2.1
149,315.67,301.61,329.73,4.5,2.2,2.1
150,309.25,295.42,323.09,4.5,2.2,2.1
